"Features",
"Casing Pressure",
"Gas Flow (Volume)",
"Motor Speed",
"Motor Torque",
"Pump Speed Actual",
"Tubing Flow Meter",
"Tubing Pressure",
"Tubing Size Type",
"Water Flow Mag from Separator",
"Wellhead Flow Configuration",
"Wellhead Type"
